experiment;cluster_rmse;cluster_count;cluster_r2;cluster_mape;cluster_mape0;case_rmse;case_count;case_r2;case_mape;case_mape0;case_top_decile_accuracy;case_top_decile_f1;case_top_decile_precision;case_top_decile_recall;case_bottom_decile_accuracy;case_bottom_decile_f1;case_bottom_decile_precision;case_bottom_decile_recall;dataset;clustering_parameter_type;clustering_parameter;clustering_method;model_type;prediction_activity;target_activity
AHOT_native_100_rho;21.92619387616646;362.0;-0.9731727243545888;0.7588940560846617;0.7588940560846617;23.73716574716098;171458.0;-0.11958362432493995;2.654634629037917;2.654634629037917;0.5006344543196706;0.1011373578302712;0.1011373578302712;0.1011373578302712;0.5069530761746874;0.11251093613298338;0.11251093613298338;0.11251093613298338;bpic2019;cluster_size;100;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_101_rho;21.42470168303449;360.0;-0.8827866669809019;0.7507353751263667;0.7507353751263667;23.720725015743646;171458.0;-0.11803327922869555;2.6656674603090287;2.6656674603090287;0.4989818916806662;0.09816272965879264;0.09816272965879264;0.09816272965879264;0.5027406616046761;0.10492855059784194;0.10492855059784194;0.10492855059784194;bpic2019;cluster_size;101;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_102_rho;21.49400254284522;360.0;-0.894986581046076;0.7528499711067169;0.7528499711067169;23.72431753385226;171458.0;-0.11837195850210035;2.6682445680461524;2.6682445680461524;0.4982690215226642;0.0968795567220764;0.0968795567220764;0.0968795567220764;0.5041015955426797;0.1073782443861184;0.1073782443861184;0.1073782443861184;bpic2019;cluster_size;102;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_103_rho;21.609002932154933;360.0;-0.9153185019379012;0.7525679331726151;0.7525679331726151;23.71378914484149;171458.0;-0.11737955546753345;2.6723469170105627;2.6723469170105627;0.5002780192406696;0.1004957713619131;0.1004957713619131;0.1004957713619131;0.5068882697966872;0.11239428404782736;0.11239428404782736;0.11239428404782736;bpic2019;cluster_size;103;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_104_rho;23.704576314321205;360.0;-1.304814310307291;0.7699264473090923;0.7699264473090923;23.74793564720825;171458.0;-0.12059979780227525;2.649111689264972;2.649111689264972;0.4977505704986629;0.09594634004082823;0.09594634004082823;0.09594634004082823;0.5062402060166854;0.11122776319626712;0.11122776319626712;0.11122776319626712;bpic2019;cluster_size;104;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_105_rho;23.62758761435903;360.0;-1.2898672807531866;0.764148610675024;0.764148610675024;23.72821130809141;171458.0;-0.11873909616783584;2.6494685546404493;2.6494685546404493;0.5021898073916747;0.10393700787401576;0.10393700787401576;0.10393700787401576;0.5036155477076785;0.10650335374744824;0.10650335374744824;0.10650335374744824;bpic2019;cluster_size;105;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_106_rho;23.610515660386532;359.0;-1.2839202112365768;0.7639771195955831;0.7639771195955831;23.7364654662041;171458.0;-0.119517566604723;2.643473566534587;2.643473566534587;0.4991115044366665;0.0983960338291047;0.0983960338291047;0.0983960338291047;0.5084760260576914;0.1152522601341499;0.1152522601341499;0.1152522601341499;bpic2019;cluster_size;106;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_107_rho;23.61614786442353;359.0;-1.2850099831916206;0.7708353154840152;0.7708353154840152;23.738288483350814;171458.0;-0.1196895364454611;2.642801326284563;2.642801326284563;0.5009260830206713;0.10166229221347332;0.10166229221347332;0.10166229221347332;0.5054301262916833;0.10976961213181684;0.10976961213181684;0.10976961213181684;bpic2019;cluster_size;107;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_108_rho;23.50448776917331;358.0;-1.2592633494518646;0.7609814919066696;0.7609814919066696;23.73579558978456;171458.0;-0.11945437877770335;2.6402417967831124;2.6402417967831124;0.5006668575086707;0.10119568387284923;0.10119568387284923;0.10119568387284923;0.5028702743606766;0.10516185476815397;0.10516185476815397;0.10516185476815397;bpic2019;cluster_size;108;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_109_rho;23.49930489250839;358.0;-1.2582670978080026;0.7656575142305154;0.7656575142305154;23.71917083361713;171458.0;-0.11788677692629145;2.6440341343929794;2.6440341343929794;0.5016389531786732;0.10294546515018957;0.10294546515018957;0.10294546515018957;0.5034211285736779;0.10615339749198018;0.10615339749198018;0.10615339749198018;bpic2019;cluster_size;109;native;AHOT;Vendor creates invoice;Record Invoice Receipt
