experiment;cluster_rmse;cluster_count;cluster_r2;cluster_mape;cluster_mape0;case_rmse;case_count;case_r2;case_mape;case_mape0;case_top_decile_accuracy;case_top_decile_f1;case_top_decile_precision;case_top_decile_recall;case_bottom_decile_accuracy;case_bottom_decile_f1;case_bottom_decile_precision;case_bottom_decile_recall;dataset;clustering_parameter_type;clustering_parameter;clustering_method;model_type;prediction_activity;target_activity
AHOT_native_100_rho;12.526164811825065;1.0313390313390314;-8759.714436424933;0.7694132506054951;0.7694132506054951;24.11584159535102;488.4843304843305;-22.603837377082936;2.7015198652607184;2.7015198652607184;0.5356329319999109;0.16139531411058405;0.16139531411058405;0.16139531411058405;0.5326680478540681;0.15571719681593976;0.15571719681593976;0.15571719681593976;bpic2019;cluster_size;100;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_101_rho;12.320931470571601;1.0256410256410255;-11376.025841396708;0.7592505336598367;0.7592505336598367;23.95625479285739;488.4843304843305;-20.693404960649158;2.6896158340046163;2.6896158340046163;0.5355320065668381;0.1612135069703838;0.1612135069703838;0.1612135069703838;0.5326459308532103;0.15567734347622988;0.15567734347622988;0.15567734347622988;bpic2019;cluster_size;101;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_102_rho;12.358387683560728;1.0256410256410255;-11405.61186214201;0.7612343904213286;0.7612343904213286;23.9841470125278;488.4843304843305;-20.880937252740168;2.701431281324693;2.701431281324693;0.5356833016527737;0.16148583812506792;0.16148583812506792;0.16148583812506792;0.5326661035313351;0.15571365429685444;0.15571365429685444;0.15571365429685444;bpic2019;cluster_size;102;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_103_rho;12.37699390821384;1.0256410256410255;-11244.736752071854;0.7616116303451975;0.7616116303451975;23.999886286354734;488.4843304843305;-21.784086401773163;2.684545281049919;2.684545281049919;0.5355320065668381;0.1612135069703838;0.1612135069703838;0.1612135069703838;0.5326459308532103;0.15567734347622988;0.15567734347622988;0.15567734347622988;bpic2019;cluster_size;103;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_104_rho;12.681611005257514;1.0256410256410255;-41516.29798411207;0.7762301279590372;0.7762301279590372;24.256513537821842;488.4843304843305;-34.29990660012893;2.6879818394874415;2.6879818394874415;0.5357344256549471;0.16157784371015307;0.16157784371015307;0.16157784371015307;0.5328028978357934;0.15596014890609416;0.15596014890609416;0.15596014890609416;bpic2019;cluster_size;104;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_105_rho;12.604925528638521;1.0256410256410255;-41571.43128736371;0.7716570426133927;0.7716570426133927;24.23473056140165;488.4843304843305;-33.865348109655166;2.693116319484146;2.693116319484146;0.5356704682107537;0.16146279471967154;0.16146279471967154;0.16146279471967154;0.5327827251576687;0.1559238380854696;0.1559238380854696;0.1559238380854696;bpic2019;cluster_size;105;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_106_rho;12.55468033508363;1.0227920227920229;-47941.65605527235;0.7699258476704636;0.7699258476704636;24.18322830213378;488.4843304843305;-36.20968656302951;2.681103417558012;2.681103417558012;0.5356205144260028;0.161372850485097;0.161372850485097;0.161372850485097;0.5327827251576687;0.1559238380854696;0.1559238380854696;0.1559238380854696;bpic2019;cluster_size;106;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_107_rho;12.603750712367848;1.0227920227920229;-47839.81861695992;0.7761415838385182;0.7761415838385182;24.20276649681045;488.4843304843305;-36.11309053114225;2.683633059964226;2.683633059964226;0.5357718095119383;0.1616451816397811;0.1616451816397811;0.1616451816397811;0.5328028978357934;0.15596014890609416;0.15596014890609416;0.15596014890609416;bpic2019;cluster_size;107;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_108_rho;12.524582309440198;1.01994301994302;-53111.132508459305;0.7652788715138465;0.7652788715138465;24.18117941111788;488.4843304843305;-33.99433525098544;2.691456725591738;2.691456725591738;0.5356205144260028;0.161372850485097;0.161372850485097;0.161372850485097;0.5327827251576687;0.1559238380854696;0.1559238380854696;0.1559238380854696;bpic2019;cluster_size;108;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_109_rho;12.522155591292485;1.01994301994302;-53094.92964904497;0.7701211722760719;0.7701211722760719;24.18323915096438;488.4843304843305;-34.17721604026171;2.695127079651557;2.695127079651557;0.5357718095119383;0.1616451816397811;0.1616451816397811;0.1616451816397811;0.5328028978357934;0.15596014890609416;0.15596014890609416;0.15596014890609416;bpic2019;cluster_size;109;native;AHOT;Vendor creates invoice;Record Invoice Receipt
AHOT_native_10_rho;14.788330531266398;5.880341880341881;-206.65165368280736;0.9126920627143635;0.9126920627143635;22.35313388559824;488.4843304843305;-4.251800189342581;2.4121868537164177;2.4121868537164177;0.53732775674206;0.16438799801378892;0.16438799801378892;0.16438799801378892;0.558045649481038;0.20145829451647748;0.20145829451647748;0.20145829451647748;bpic2019;cluster_size;10;native;AHOT;Vendor creates invoice;Record Invoice Receipt
