experiment;cluster_rmse;cluster_count;cluster_r2;cluster_mape;cluster_mape0;cluster_turnover;consumer_id_rmse;consumer_id_count;consumer_id_r2;consumer_id_mape;consumer_id_mape0;consumer_id_top_decile_accuracy;consumer_id_top_decile_f1;consumer_id_top_decile_precision;consumer_id_top_decile_recall;consumer_id_bottom_decile_accuracy;consumer_id_bottom_decile_f1;consumer_id_bottom_decile_precision;consumer_id_bottom_decile_recall;consumer_id_turnover;clustering_parameter_type;clustering_parameter;clustering_method;model_type;tau
RNN_native_tau=2_rho=1;69.45267995824963;681415.0;-0.27655266118296984;5.546443986835788e+16;579606602397.2617;0.25558284503916195;53.48003517829665;719432.0;0.2284885185535279;3.4876032973853948e+16;141340169597.06674;0.5048705209921134;0.10876666249669878;0.10876666249669878;0.10876666249669878;0.5006619435870274;0.10119122082759964;0.10119122082759964;0.10119122082759964;0.26248401551386513;cluster_size;1;native;TAX;2
RNN_native_tau=2_rho=1024;8.07060996344536;700.0;0.7643849498147997;0.21443794964124285;0.21443794964124285;0.11320174759723844;59.307513538154886;863180.0;0.05999714314210525;6.126760009307154e+16;421800640682.0707;0.5028525014738783;0.10513450265298084;0.10513450265298084;0.10513450265298084;0.4992482577343209;0.0986468639217776;0.0986468639217776;0.0986468639217776;0.07726744891381092;cluster_size;1024;native;TAX;2
RNN_native_tau=2_rho=128;20.922145582992197;5355.0;0.30545038439825256;230779619556234.3;0.42842245267955775;0.3790880318945276;57.882554802890205;959628.0;0.06206904517731104;3.785243317163456e+16;107854059557.4834;0.5025581861687537;0.10460390571267794;0.10460390571267794;0.10460390571267794;0.4992409039271762;0.09863279214689147;0.09863279214689147;0.09863279214689147;0.3614453222701798;cluster_size;128;native;TAX;2
RNN_native_tau=2_rho=131072;7.7077896274488165;35.0;-2.3673785660019755;0.16644504255094492;0.16644504255094492;0.09508355023941348;61.885100728807544;1300745.0;-0.012133227197375971;6.675661088488519e+16;339104839514.1906;0.5002932090386456;0.1005273920998816;0.1005273920998816;0.1005273920998816;0.5079512397416808;0.1143118532527638;0.1143118532527638;0.1143118532527638;0.10110756832163058;cluster_size;131072;native;TAX;2
RNN_native_tau=2_rho=16;51.90108175032381;42595.0;0.21320913999018853;6559224706233908.0;0.8864156068645216;0.19389061380554876;55.71450240328107;1145041.0;0.12031003824588815;5.8347154467795656e+16;191620392548.89505;0.5044909149713016;0.1080835603996367;0.1080835603996367;0.1080835603996367;0.5012401797471786;0.10223223642842172;0.10223223642842172;0.10223223642842172;0.04009625015941744;cluster_size;16;native;TAX;2
RNN_native_tau=2_rho=16384;15.835210464155207;70.0;-4.267427653793049;0.5030177004388758;0.5030177004388758;0.4187988615156717;63.23373597907602;923779.0;-0.04718142004629766;1.037196943853089e+17;607445585210.4369;0.5000865414042809;0.10015480043733828;0.10015480043733828;0.10015480043733828;0.5136481034991182;0.12456563863299308;0.12456563863299308;0.12456563863299308;0.3801756525169512;cluster_size;16384;native;TAX;2
RNN_native_tau=2_rho=2;65.32358215258127;197540.0;0.2474140434416409;2.495079959426655e+16;1.0677534323556737;0.20208111658596464;55.76051599034589;1273109.0;0.16633155205599193;4.947517106631022e+16;95016139340.7718;0.5043903734938432;0.10790197156547013;0.10790197156547013;0.10790197156547013;0.5007247832015627;0.10130390385672768;0.10130390385672768;0.10130390385672768;0.1344121673882568;cluster_size;2;native;TAX;2
RNN_native_tau=2_rho=2048;9.09484547153109;350.0;0.629811560622317;0.288215413144538;0.288215413144538;0.11130814578090756;60.724456944692115;836937.0;0.035539337531129256;6.818540493769317e+16;452489774376.418;0.5022421209096223;0.10403498500471962;0.10403498500471962;0.10403498500471962;0.5019367724120606;0.10348535719833199;0.10348535719833199;0.10348535719833199;0.009146646012148029;cluster_size;2048;native;TAX;2
RNN_native_tau=2_rho=256;22.965477431276994;2695.0;0.12696356864800884;22413091838594.227;0.528567304375068;0.4408431857962348;59.4937019650005;913613.0;0.03501023729290953;3.4323864164666244e+16;76577679342.36781;0.5025474634025349;0.1045851074309607;0.1045851074309607;0.1045851074309607;0.4986861040799988;0.09763465811451276;0.09763465811451276;0.09763465811451276;0.4361505103929026;cluster_size;256;native;TAX;2
RNN_native_tau=2_rho=32;34.62085653729234;21315.0;0.3526929115255369;2669119843164186.5;0.5930629721252265;0.12675528762003122;55.19321044802019;1103082.0;0.12132053297617218;6.231782261024443e+16;262220632004.5617;0.5041460669424669;0.10746274068970517;0.10746274068970517;0.10746274068970517;0.4991247740416365;0.09842441164738733;0.09842441164738733;0.09842441164738733;0.0045026644686925466;cluster_size;32;native;TAX;2
RNN_native_tau=2_rho=32768;56.664468179786596;35.0;-146.36829283562992;1.6024423582393237;1.6024423582393237;1.5854584484761258;85.61329629474525;849877.0;-0.8721157423010275;2.0033516185338266e+17;1205428993726.0908;0.4998716798346161;0.09976819984232883;0.09976819984232883;0.09976819984232883;0.5395313039058685;0.17115558850177087;0.17115558850177087;0.17115558850177087;1.6422353225392188;cluster_size;32768;native;TAX;2
RNN_native_tau=2_rho=4;64.93194820162505;170365.0;0.2482226970934043;2.5292361083444708e+16;1.110993786161578;0.1813188423946976;55.42247166156746;1242669.0;0.16094331603075052;6.193028005634903e+16;150230480987.39142;0.5048528922983935;0.10873448891893198;0.10873448891893196;0.10873448891893196;0.5013165743126596;0.10236911142227158;0.10236911142227158;0.10236911142227158;0.0122923784052152;cluster_size;4;native;TAX;2
