experiment;cluster_rmse;cluster_count;cluster_r2;cluster_mape;cluster_mape0;cluster_turnover;consumer_id_rmse;consumer_id_count;consumer_id_r2;consumer_id_mape;consumer_id_mape0;consumer_id_top_decile_accuracy;consumer_id_top_decile_f1;consumer_id_top_decile_precision;consumer_id_top_decile_recall;consumer_id_bottom_decile_accuracy;consumer_id_bottom_decile_f1;consumer_id_bottom_decile_precision;consumer_id_bottom_decile_recall;consumer_id_turnover;consumer_id_turnover_drop_absolute_accuracy;consumer_id_turnover_drop_relative_accuracy;consumer_id_turnover_drop_absolute_recall;consumer_id_turnover_drop_relative_recall;consumer_id_turnover_drop_absolute_precision;consumer_id_turnover_drop_relative_precision;consumer_id_turnover_drop_absolute_f1;consumer_id_turnover_drop_relative_f1;clustering_parameter_type;clustering_parameter;clustering_method;model_type;tau
RNN_native_tau=2_rho=1;1.7748696545434308;0.0;0.01072081745314892;1990173540420493.0;800015074554.838;0.03159208927133234;1.676057989437541;88.36835638682629;0.008369157691668332;1543821667750577.2;166144377567.43478;0.0020190215022226204;0.003633698667090222;0.003633698667090222;0.003633698667090222;0.0017952207988000588;0.0032318178880638678;0.0032318178880638678;0.0032318178880638678;0.031001792121937426;0.015267553295208132;0.02459762941553099;0.027481963926091046;0.04427682190791533;0.027481963926091046;0.04427682190791533;0.027481963926091046;0.04427682190791533;cluster_size;1;native;TAX;2
RNN_native_tau=2_rho=1024;0.9742296450877705;0.0;0.07473308729911936;0.023046070133924332;0.023046070133924332;0.03252497248033504;1.7893378923919858;797.7271476780635;0.007328006886735075;2692748728364320.0;563266984655.5718;0.004249311922049047;0.007649717649079828;0.00764971764907983;0.00764971764907983;0.0037422686153930607;0.006735956214345552;0.006735956214345552;0.006735956214345552;0.029877570722836477;0.014225785049983267;0.026670488720464028;0.02560696049590106;0.04800775137686633;0.02560696049590106;0.04800775137686633;0.025606960495901068;0.04800775137686633;cluster_size;1024;native;TAX;2
RNN_native_tau=2_rho=128;1.8631246767732694;0.0;0.07356252890369999;112788491172307.0;0.021471049641570202;0.02043258818809314;1.940754414126019;812.8578464068311;0.00981580723429106;1124946516346845.2;149042591470.6106;0.0029983393211202255;0.005397274663624479;0.0053972746636244805;0.0053972746636244805;0.002230593967769514;0.00401478255107155;0.00401478255107155;0.00401478255107155;0.023179731277419607;0.013310929812299505;0.024689956839519054;0.02395990057294627;0.044442932111887774;0.02395990057294627;0.044442932111887774;0.02395990057294627;0.044442932111887774;cluster_size;128;native;TAX;2
RNN_native_tau=2_rho=131072;1.7258235551019034;0.0;;0.047142913236398444;0.047142913236398444;0.047142913236398444;1.8900208916416423;1424.9673511027913;0.007440836621812674;4621134387042413.0;543321371041.51025;0.0008462912328887186;0.0015241571535612893;0.00152415715356129;0.00152415715356129;0.007362118937613435;0.01325242044934411;0.01325242044934411;0.01325242044934411;0.04714291323639845;0.015142367249293206;0.027704233909375913;0.027256848015876516;0.04986817704411836;0.027256848015876516;0.04986817704411836;0.027256848015876516;0.04986817704411836;cluster_size;131072;native;TAX;2
RNN_native_tau=2_rho=16;6.843166702432518;0.0;0.034353725797287474;678098929318861.5;0.153082883760624;0.026730995064898542;1.7810781515690657;1148.8053256067908;0.003957848282825978;1954013575198996.5;304871584526.161;0.002387763359743582;0.004298076723254771;0.004298076723254771;0.004298076723254771;0.0016806170882816367;0.0030247158588839846;0.0030247158588839846;0.0030247158588839846;0.026590133375439678;0.012442763824797715;0.026491429930099192;0.022397562388114536;0.04768533216373884;0.022397562388114536;0.04768533216373884;0.022397562388114536;0.04768533216373884;cluster_size;16;native;TAX;2
RNN_native_tau=2_rho=16384;1.8402121256252006;0.0;29381.466885699614;0.07958747817079509;0.07958747817079509;0.06931586242246658;2.052814545279926;2029.8757593942712;0.018070030424806455;4156654967635888.5;1113091991943.9229;0.0031160572747840416;0.00560890547727037;0.005608905477270369;0.005608905477270369;0.021140951801141568;0.03805453352108364;0.03805453352108364;0.03805453352108364;0.06912468776908948;0.01617653648640723;0.02784606098464313;0.029118096438059803;0.05012369612930666;0.029118096438059803;0.05012369612930666;0.029118096438059803;0.05012369612930666;cluster_size;16384;native;TAX;2
RNN_native_tau=2_rho=2;2.9930556799335895;91.11671021183047;0.014494428762019439;1054403622569581.8;0.037125054424339256;0.024387542320084256;1.7797446448396061;1469.9844107488643;0.00564313428967697;1782677800536273.0;154443384359.88962;0.0025240757608949644;0.004542579465704723;0.004542579465704723;0.004542579465704723;0.0015188539744527354;0.002734281742312082;0.002734281742312082;0.002734281742312082;0.02983127419107994;0.011701492048471648;0.02539278256064413;0.021063055542645828;0.04570754815252795;0.021063055542645828;0.04570754815252795;0.02106305554264583;0.04570754815252795;cluster_size;2;native;TAX;2
RNN_native_tau=2_rho=2048;0.927927891716873;0.0;0.11116638927772511;0.024569988224142927;0.024569988224142927;0.03535590948230536;2.048327915184108;1146.7382519919806;0.006570414318249967;3577938114294511.0;587395604693.929;0.00420673845634702;0.007572044397825161;0.007572044397825161;0.007572044397825161;0.008161120570723374;0.014690710928666428;0.014690710928666428;0.014690710928666428;0.03101011940341297;0.015539663273424266;0.02645206335544258;0.027971809716084418;0.047614677644451105;0.027971809716084418;0.047614677644451105;0.027971809716084418;0.047614677644451105;cluster_size;2048;native;TAX;2
RNN_native_tau=2_rho=256;3.550520308595802;0.0;0.10137744086692416;43296750006932.04;0.017749939508530394;0.022136080897569358;2.1149374665749026;676.2609633558416;0.011749396670772;1159795252633189.0;103577059644.06976;0.003941666994762836;0.007095033128568761;0.007095033128568763;0.007095033128568763;0.0028869550822562414;0.0051971534791835075;0.0051971534791835075;0.0051971534791835075;0.02341095349383948;0.013755008911475523;0.024340345776085657;0.024759429360411696;0.043813565666148385;0.024759429360411696;0.043813565666148385;0.024759429360411696;0.043813565666148385;cluster_size;256;native;TAX;2
RNN_native_tau=2_rho=32;5.036578067099514;0.0;0.04509507883859693;435011781323824.9;0.037374759216891235;0.026897043482031775;1.7111027361023194;1054.7835246968918;0.004811381523644795;1846303197100695.0;383387803401.72815;0.002995130130903016;0.00539142758424428;0.00539142758424428;0.00539142758424428;0.0016602965742596291;0.0029880811341397437;0.0029880811341397437;0.0029880811341397437;0.024741050007274983;0.012937563928506538;0.026458361378479643;0.023288135362586632;0.04762586088081056;0.023288135362586632;0.04762586088081056;0.023288135362586632;0.04762586088081056;cluster_size;32;native;TAX;2
