experiment;cluster_rmse;cluster_count;cluster_r2;cluster_mape;cluster_mape0;cluster_turnover;consumer_id_rmse;consumer_id_count;consumer_id_r2;consumer_id_mape;consumer_id_mape0;consumer_id_top_decile_accuracy;consumer_id_top_decile_f1;consumer_id_top_decile_precision;consumer_id_top_decile_recall;consumer_id_bottom_decile_accuracy;consumer_id_bottom_decile_f1;consumer_id_bottom_decile_precision;consumer_id_bottom_decile_recall;consumer_id_turnover;consumer_id_turnover_drop_absolute_accuracy;consumer_id_turnover_drop_relative_accuracy;consumer_id_turnover_drop_absolute_recall;consumer_id_turnover_drop_relative_recall;consumer_id_turnover_drop_absolute_precision;consumer_id_turnover_drop_relative_precision;consumer_id_turnover_drop_absolute_f1;consumer_id_turnover_drop_relative_f1;clustering_parameter_type;clustering_parameter;clustering_method;model_type;tau
RNN_native_tau=2_rho=1;69.24574528742933;19469.0;-0.2859457158087325;5.5464439868357864e+16;530787882408.0308;0.24452734325890535;53.274264890562144;20555.2;0.22777309475908566;3.4823100975436904e+16;122558579681.48997;0.6846743138356078;0.43239960338270184;0.43239960338270184;0.43239960338270184;0.5210858796507261;0.1379330086602689;0.1379330086602689;0.1379330086602689;0.252015516546611;0.8291934146376609;0.5690937316583917;0.6925405403962352;0.22434914488926527;0.6925405403962352;0.22434914488926527;0.6925405403962352;0.22434914488926527;cluster_size;1;native;TAX;2
RNN_native_tau=2_rho=1024;7.515794440546805;20.0;0.726354187997473;0.21443794964124285;0.21443794964124285;0.14134733231444058;59.13501026503188;24662.285714285714;0.05500665671731705;6.115701088926169e+16;401631360880.5567;0.5633424234599749;0.2140020962535189;0.2140020962535189;0.2140020962535189;0.5266260648141524;0.14791154848341126;0.14791154848341126;0.14791154848341126;0.12088053906873336;0.8000453458408124;0.5326123895001972;0.6400750682637957;0.15868708080707644;0.6400750682637957;0.15868708080707644;0.6400750682637957;0.15868708080707644;cluster_size;1024;native;TAX;2
RNN_native_tau=2_rho=128;20.152154805509266;153.0;0.31721889805960896;230779619556234.22;0.42838912852302286;0.37258542863002625;57.72075375971984;27417.942857142858;0.05940244389881182;3.770460407704906e+16;109037499788.07796;0.5940381635393065;0.269253733118569;0.269253733118569;0.269253733118569;0.5215299005873086;0.13873621723296373;0.13873621723296373;0.13873621723296373;0.3562207599224701;0.8064518081770019;0.5708797278919154;0.6516062497609225;0.22756757674703823;0.6516062497609225;0.22756757674703823;0.6516062497609225;0.22756757674703823;cluster_size;128;native;TAX;2
RNN_native_tau=2_rho=131072;5.680919399757578;1.0;;0.1664450425509449;0.1664450425509449;0.1664450425509449;61.82828935030072;37164.142857142855;-0.01396445430781163;6.719110325116047e+16;403514531201.979;0.49962054443328846;0.0993070331945632;0.0993070331945632;0.0993070331945632;0.7213017047810902;0.4983374409359056;0.4983374409359056;0.4983374409359056;0.1664450425509448;0.7864375750655087;0.5127827755656972;0.6155833085533454;0.12299946811302746;0.6155833085533454;0.12299946811302746;0.6155833085533454;0.12299946811302746;cluster_size;131072;native;TAX;2
RNN_native_tau=2_rho=16;47.613634470139836;1217.0;0.27576784651098574;6559224706233907.0;0.8859941931679164;0.18608010760702054;55.656533350161354;32715.457142857143;0.11740169266715698;5.7807515734142824e+16;204520864872.57718;0.6129947567092959;0.3033800534226552;0.3033800534226552;0.3033800534226552;0.5170738656814097;0.13071986233450655;0.13071986233450655;0.13071986233450655;0.08940106170488611;0.8042826651911101;0.5345316616601882;0.6477033496703576;0.16214437886187735;0.6477033496703576;0.16214437886187735;0.6477033496703576;0.16214437886187735;cluster_size;16;native;TAX;2
RNN_native_tau=2_rho=16384;14.829031088455434;2.0;-15334.205374030966;0.5030177004388758;0.5030177004388758;0.465915322047372;62.55662380077785;26393.685714285715;-0.06542623989441812;1.0357159221618715e+17;748353291863.7886;0.49644100934010477;0.09357624741555992;0.09357624741555992;0.09357624741555992;0.6610229352623757;0.38982946161464416;0.38982946161464416;0.38982946161464416;0.4287652227824324;0.7886423332418561;0.5140615521616237;0.6195489622735474;0.12529386866254388;0.6195489622735474;0.12529386866254388;0.6195489622735474;0.12529386866254388;cluster_size;16384;native;TAX;2
RNN_native_tau=2_rho=2;64.85608082310755;5644.0;0.2510575268923939;2.4938637966338228e+16;1.0684454930495606;0.1980368390887827;55.65960142327165;36374.54285714286;0.16537564232969137;4.894210316318624e+16;111423425808.59798;0.6393928763434743;0.3508991497798091;0.3508991497798091;0.3508991497798091;0.5192232973710783;0.13459115536030292;0.13459115536030292;0.13459115536030292;0.14101357445038126;0.8110144942468135;0.5549137016259321;0.659821843850802;0.19883480816392085;0.659821843850802;0.19883480816392085;0.659821843850802;0.19883480816392085;cluster_size;2;native;TAX;2
RNN_native_tau=2_rho=2048;8.652807693331463;10.0;0.5173221858480853;0.288215413144538;0.288215413144538;0.13741728263652336;60.385101413286804;23912.485714285714;0.02793510219034818;6.741671001762357e+16;408418026094.90674;0.546258496174348;0.18325048278887296;0.18325048278887296;0.18325048278887296;0.5446300704075661;0.18031918048221965;0.18031918048221965;0.18031918048221965;0.1209719926154157;0.7996181365114172;0.5400557690435187;0.639306149576425;0.172085272420364;0.639306149576425;0.172085272420364;0.639306149576425;0.172085272420364;cluster_size;2048;native;TAX;2
RNN_native_tau=2_rho=256;20.311488814515805;77.0;0.17307342530593053;22413091838594.215;0.5285408291479726;0.4348435444123135;59.237649049468345;26103.22857142857;0.03181372323196089;3.42207677291968e+16;75533493567.39383;0.586387098177301;0.25548283827146484;0.25548283827146484;0.25548283827146484;0.5250371153662567;0.14505076241158288;0.14505076241158288;0.14505076241158288;0.4309205951727982;0.8074662353819017;0.5795183390129007;0.6534327483228539;0.24311873107782686;0.6534327483228539;0.24311873107782686;0.6534327483228539;0.24311873107782686;cluster_size;256;native;TAX;2
RNN_native_tau=2_rho=32;31.104353306406335;609.0;0.43992898908606864;2669119843164186.5;0.5931947799644228;0.1266044365322269;55.186210304942904;31516.628571428573;0.11770538913851211;6.188293589469837e+16;281264945060.2723;0.6109121874262311;0.29963033819451573;0.29963033819451573;0.29963033819451573;0.5199525617263935;0.1359003248251968;0.1359003248251968;0.1359003248251968;0.09440389892861067;0.8055021458227787;0.5355724124005672;0.6498979850958472;0.16401650336583262;0.6498979850958472;0.16401650336583262;0.6498979850958472;0.16401650336583262;cluster_size;32;native;TAX;2
RNN_native_tau=2_rho=32768;54.25507856366567;1.0;;1.6024423582393235;1.6024423582393235;1.6024423582393235;83.23694453428156;24282.2;-0.8421941894308022;1.9461827172085914e+17;1740621011020.7893;0.4995058317829802;0.09909011556106373;0.09909011556106373;0.09909011556106373;0.7174725353041795;0.4914392700182749;0.4914392700182749;0.4914392700182749;1.6024423582393237;0.7835103302900192;0.5147607374999492;0.6103099891271978;0.12654958854652718;0.6103099891271978;0.12654958854652718;0.6103099891271978;0.12654958854652718;cluster_size;32768;native;TAX;2
RNN_native_tau=2_rho=4;64.18632968385363;4867.571428571428;0.2534217205918893;2.5292512553669296e+16;1.1120537900577607;0.17519402481270774;55.287176496958274;35504.828571428574;0.15899344418783107;6.117300380413367e+16;171563815531.17758;0.6366250718587243;0.3459161092904429;0.3459161092904429;0.3459161092904429;0.5171035167153094;0.1307743444682378;0.1307743444682378;0.1307743444682378;0.09890020500802564;0.8093062773922224;0.5442630139002421;0.6567464721384177;0.17966214882904283;0.6567464721384177;0.17966214882904283;0.6567464721384177;0.17966214882904283;cluster_size;4;native;TAX;2
RNN_native_tau=2_rho=4096;6.240308822149745;5.0;0.4790096503879197;0.17790836377298963;0.17790836377298963;0.13240935865857212;59.735540640895984;21715.542857142857;0.016044857895829982;6.33615827798307e+16;110797809721.99608;0.5289196052811693;0.15202984588650148;0.15202984588650148;0.15202984588650148;0.5760896693757801;0.23693899160485793;0.23693899160485793;0.23693899160485793;0.12137041389327073;0.7991975343481007;0.5264285419721215;0.6385449344602706;0.14754528611370155;0.6385449344602706;0.14754528611370155;0.6385449344602706;0.14754528611370155;cluster_size;4096;native;TAX;2
RNN_native_tau=2_rho=512;13.2506161199621;39.0;0.5470675230034531;0.25834562197881944;0.25834562197881944;0.22625727884032826;58.77279616058903;24961.942857142858;0.0574854306879431;4.789773008380919e+16;153266435236.324;0.5788019277954614;0.24183216296838914;0.24183216296838914;0.24183216296838914;0.5217739801296633;0.1391803393256316;0.1391803393256316;0.1391803393256316;0.2233153641497699;0.8056111646877244;0.5461193542010396;0.6500948609895656;0.18300273523195026;0.6500948609895656;0.18300273523195026;0.6500948609895656;0.18300273523195026;cluster_size;512;native;TAX;2
RNN_native_tau=2_rho=64;25.120467519834172;305.0;0.5980736952611279;1055409650062536.5;0.4175716465311722;0.1000689514118771;55.645560429584876;29949.114285714284;0.11056637294305764;6.125087037980508e+16;285935423787.19476;0.6034299525174542;0.28616017162962093;0.28616017162962093;0.28616017162962093;0.5210439325503544;0.13786250925403098;0.13786250925403098;0.13786250925403098;0.0883159115666511;0.803157001272213;0.5404610196435372;0.645675789828891;0.1728138769256046;0.645675789828891;0.1728138769256046;0.645675789828891;0.1728138769256046;cluster_size;64;native;TAX;2
RNN_native_tau=2_rho=65536;8.518961685501743;1.0;;0.2658076473178307;0.2658076473178307;0.2658076473178307;62.33105495645043;37164.142857142855;-0.03343030264215819;9.184606460785867e+16;475676152649.0849;0.49962054443328846;0.0993070331945632;0.0993070331945632;0.0993070331945632;0.7213017047810902;0.4983374409359056;0.4983374409359056;0.4983374409359056;0.2658076473178307;0.7864375750655087;0.5127787003485997;0.6155833085533454;0.12299213270132747;0.6155833085533454;0.12299213270132747;0.6155833085533454;0.12299213270132747;cluster_size;65536;native;TAX;2
RNN_native_tau=2_rho=8;56.881092276695625;2434.0;0.254621189276262;1.6064526423162284e+16;1.0150266629053106;0.168667888907938;54.96008862867212;33461.22857142857;0.12640694478350537;5.318863486135804e+16;66173817369.47904;0.6170430258231394;0.3106693084129957;0.3106693084129957;0.3106693084129957;0.5183325449190559;0.13298834944271495;0.13298834944271495;0.13298834944271495;0.10268207986587702;0.8047905511445161;0.5567898428952969;0.6486187591652418;0.2022124411616081;0.6486187591652418;0.2022124411616081;0.6486187591652418;0.20221244116160808;cluster_size;8;native;TAX;2
RNN_native_tau=2_rho=8192;12.620249050596092;3.0;-11.691759651318389;0.3149883009258856;0.3149883009258856;0.29310447550585367;60.68837854664687;24020.82857142857;-0.05331013775999762;5.539012008212237e+16;489886399698.0848;0.49203254814127656;0.08563710786564863;0.08563710786564863;0.08563710786564863;0.5995330153273245;0.27914247853819474;0.27914247853819474;0.27914247853819474;0.4045716706400805;0.7943640461516562;0.53217101194944;0.6298468757217672;0.15788832510217765;0.6298468757217672;0.15788832510217765;0.6298468757217672;0.15788832510217765;cluster_size;8192;native;TAX;2
RNN_native_tau=2_rho=None;57.70910510662967;1.0;;1.7368428650027212;1.7368428650027212;1.7368428650027212;84.47724638406541;37164.142857142855;-0.9061694124636811;5.64314732176055e+16;289452507506.5709;0.49962054443328846;0.0993070331945632;0.0993070331945632;0.0993070331945632;0.7213017047810902;0.4983374409359056;0.4983374409359056;0.4983374409359056;1.7368428650027214;0.7864375750655087;0.5604500529140202;0.6155833085533454;0.20880147906411142;0.6155833085533454;0.20880147906411142;0.6155833085533454;0.20880147906411142;cluster_size;;native;TAX;2
RNN_native_tau=3_rho=1;50.60479716636053;21557.0;0.2686342245088159;3.3222599651246864e+16;1317841014.0140567;0.2064552608683184;49.84434095944578;22463.323529411766;0.2712071862129097;3.231007938243844e+16;1305927024.0998337;0.7014600928480053;0.462614603273637;0.462614603273637;0.462614603273637;0.5222987210917376;0.14011605343627065;0.14011605343627065;0.14011605343627065;0.2097643645537268;0.8329512443858924;0.6100167972526103;0.6993047065571152;0.2980123858550426;0.6993047065571152;0.2980123858550426;0.6993047065571152;0.2980123858550426;cluster_size;1;native;TAX;3
RNN_native_tau=3_rho=1024;9.853013042326367;22.0;0.5058114324142161;0.3048312480691126;0.3048312480691126;0.2573213001961043;56.693853621121995;26729.29411764706;0.030965195164846193;4.928305177950727e+16;1.0838559089532795;0.5676257504651216;0.22170888480664652;0.22170888480664652;0.22170888480664652;0.5275122523688174;0.14950284630054878;0.14950284630054878;0.14950284630054878;0.23121664294144473;0.8056035878899968;0.5501155181830031;0.6500787354090352;0.19018954064923502;0.6500787354090352;0.19018954064923502;0.6500787354090352;0.19018954064923502;cluster_size;1024;native;TAX;3
